127.0.0.1 - - [23/Mar/2021:09:02:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:02:57 +0900] "GET /ITBiz/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:02:57 +0900] "GET /ITBiz/main HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:02:57 +0900] "GET /ITBiz/user/login;jsessionid=5D1B053DAEB5C2308789156B30C87B11 HTTP/1.1" 200 2890
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:02:58 +0900] "GET /ITBiz/user/images/icons/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:02:58 +0900] "GET /ITBiz/user/not_login HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:01 +0900] "POST /ITBiz/user/trylogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:01 +0900] "GET /ITBiz/main HTTP/1.1" 200 36945
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:02 +0900] "GET /ITBiz/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:02 +0900] "GET /ITBiz/main/searchAllDataByMonthly HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:06 +0900] "GET /ITBiz/biz/weeklyRgst HTTP/1.1" 200 53788
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:06 +0900] "GET /ITBiz/biz/img/undraw_profile.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:11 +0900] "POST /ITBiz/biz/searchBaseDateScope HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:11 +0900] "GET /ITBiz/biz/getLastWeekPlaner?search_year=21&search_week=13&search_type=1 HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:11 +0900] "GET /ITBiz/biz/getThisWeekSubject?search_year=21&search_week=13 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:11 +0900] "GET /ITBiz/biz/getNextWeekSubject?search_year=21&search_week=13 HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:16 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:19 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:36 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:37 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:43 +0900] "POST /ITBiz/biz/saveUsrBizWeeklyContentData HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:48 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [23/Mar/2021:09:03:48 +0900] "POST /ITBiz/biz/getUsrBizWeeklyContent HTTP/1.1" 200 455
